timestamp_s,cwnd_bytes,ssthresh_bytes,state
0.0004,19200,480000,SS
0.0569,20380,480000,SS
0.0571,21560,480000,SS
0.0573,29820,480000,SS
0.0577,31000,480000,SS
0.0579,32180,480000,SS
0.0580,33360,480000,SS
0.0581,34540,480000,SS
0.0582,35720,480000,SS
0.0583,36900,480000,SS
0.0584,38080,480000,SS
0.0585,39260,480000,SS
0.1141,40440,480000,SS
0.1143,41620,480000,SS
0.1148,33296,28301,CUBIC
0.1149,33296,28301,CUBIC
0.1552,33337,28301,CUBIC
0.1619,25002,21251,CUBIC
0.2024,25058,21251,CUBIC
0.2025,18793,15974,CUBIC
0.2284,18867,15974,CUBIC
0.2285,14150,12027,CUBIC
0.2305,14249,12027,CUBIC
0.2308,14346,12027,CUBIC
0.2317,14443,12027,CUBIC
0.2328,14540,12027,CUBIC
0.2340,14635,12027,CUBIC
0.2351,14731,12027,CUBIC
0.2363,14825,12027,CUBIC
0.2381,14919,12027,CUBIC
0.2385,15012,12027,CUBIC
0.2398,15105,12027,CUBIC
0.2409,15197,12027,CUBIC
0.2428,15289,12027,CUBIC
0.2615,15380,12027,CUBIC
0.2625,11535,9804,CUBIC
0.2650,11656,9804,CUBIC
0.2660,11775,9804,CUBIC
0.2672,11893,9804,CUBIC
0.2683,12010,9804,CUBIC
0.2689,12126,9804,CUBIC
0.3065,12194,9804,CUBIC
0.3290,9145,7773,CUBIC
0.3809,9514,7773,CUBIC
0.3964,7135,6064,CUBIC
0.4369,7503,6064,CUBIC
0.4810,5627,4782,CUBIC
0.5215,6165,4782,CUBIC
0.5867,4623,3929,CUBIC
0.6276,5347,3929,CUBIC
0.9892,4010,3408,CUBIC
1.0296,4870,3408,CUBIC
1.1593,3652,3104,CUBIC
1.1996,4620,3104,CUBIC
1.3724,3465,2945,CUBIC
1.4131,4513,2945,CUBIC
1.4539,6645,2945,CUBIC
1.4541,7530,2945,CUBIC
1.4542,8105,2945,CUBIC
1.4543,8516,2945,CUBIC
1.4945,9547,2945,CUBIC
1.4946,10277,2945,CUBIC
1.4947,10831,2945,CUBIC
1.4948,11268,2945,CUBIC
1.4948,11619,2945,CUBIC
1.4949,11907,2945,CUBIC
1.4957,12156,2945,CUBIC
1.4958,12365,2945,CUBIC
1.5350,13029,2945,CUBIC
