timestamp_s,cwnd_bytes,ssthresh_bytes,state
0.0007,19200,480000,SS
0.0526,20380,480000,SS
0.0527,21560,480000,SS
0.0528,22740,480000,SS
0.0528,23920,480000,SS
0.0529,25100,480000,SS
0.0529,26280,480000,SS
0.0530,27460,480000,SS
0.0530,28640,480000,SS
0.0531,29820,480000,SS
0.0531,31000,480000,SS
0.0532,32180,480000,SS
0.0532,33360,480000,SS
0.0533,34540,480000,SS
0.0533,35720,480000,SS
0.0534,36900,480000,SS
0.0534,38080,480000,SS
0.0535,39260,480000,SS
0.1102,31408,26696,CUBIC
0.1103,31408,26696,CUBIC
0.1508,31452,26696,CUBIC
0.1534,23589,20050,CUBIC
0.1943,23668,20050,CUBIC
0.1944,17751,15088,CUBIC
0.2192,17832,15088,CUBIC
0.2194,13374,11367,CUBIC
0.2201,13478,11367,CUBIC
0.2222,13581,11367,CUBIC
0.2237,13684,11367,CUBIC
0.2248,13785,11367,CUBIC
0.2260,13886,11367,CUBIC
0.2273,13987,11367,CUBIC
0.2308,14086,11367,CUBIC
0.2320,14185,11367,CUBIC
0.2347,14283,11367,CUBIC
0.2500,10712,9105,CUBIC
0.2509,10746,9105,CUBIC
0.2519,10785,9105,CUBIC
0.2534,10835,9105,CUBIC
0.2543,10886,9105,CUBIC
0.2553,10941,9105,CUBIC
0.2569,11003,9105,CUBIC
0.2579,11067,9105,CUBIC
0.2913,11493,9105,CUBIC
0.2990,8619,7326,CUBIC
0.3483,6895,5860,CUBIC
0.3484,6895,5860,CUBIC
0.6477,12438,5860,CUBIC
0.6889,15932,5860,CUBIC
0.6892,18275,5860,CUBIC
0.6894,20092,5860,CUBIC
0.6895,21586,5860,CUBIC
0.6896,22855,5860,CUBIC
0.6898,23956,5860,CUBIC
0.6899,24926,5860,CUBIC
0.6900,25789,5860,CUBIC
0.6900,26565,5860,CUBIC
0.6902,27268,5860,CUBIC
0.6904,27907,5860,CUBIC
0.7296,28726,5860,CUBIC
0.7298,29472,5860,CUBIC
0.7300,30155,5860,CUBIC
0.7301,30783,5860,CUBIC
0.7302,31362,5860,CUBIC
0.7303,31899,5860,CUBIC
0.7304,32397,5860,CUBIC
0.7305,32861,5860,CUBIC
0.7306,33294,5860,CUBIC
0.7307,33698,5860,CUBIC
0.7308,34077,5860,CUBIC
0.7309,34433,5860,CUBIC
0.7310,34767,5860,CUBIC
0.7311,35081,5860,CUBIC
0.7311,35377,5860,CUBIC
0.7312,35656,5860,CUBIC
0.7313,35919,5860,CUBIC
0.7314,36168,5860,CUBIC
0.7315,36403,5860,CUBIC
0.7316,36626,5860,CUBIC
0.7317,36837,5860,CUBIC
0.7318,37037,5860,CUBIC
0.7319,37227,5860,CUBIC
0.7320,37407,5860,CUBIC
0.7704,37734,5860,CUBIC
0.7706,38044,5860,CUBIC
0.7707,38337,5860,CUBIC
0.7708,38615,5860,CUBIC
0.7709,38879,5860,CUBIC
0.7710,39129,5860,CUBIC
0.7711,39367,5860,CUBIC
0.7712,39592,5860,CUBIC
0.7713,39807,5860,CUBIC
0.7714,40012,5860,CUBIC
0.7715,40206,5860,CUBIC
0.7716,40392,5860,CUBIC
0.7717,40569,5860,CUBIC
0.7718,40738,5860,CUBIC
0.7719,40899,5860,CUBIC
0.7719,41053,5860,CUBIC
