bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.161431,6.960394,32317690,32317690,36.101935,37.144665,0.732466,0.999797
100,0.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,14.392204,14.816015,32317690,32317690,17.963998,17.450139,0.354141,0.999790
100,1.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,22.555443,22.716959,32317690,32317690,11.462489,11.380991,0.228435,0.999987
100,1.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,31.316249,33.004777,32317690,32317690,8.255827,7.833458,0.160893,0.999311
100,2.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,36.464079,40.346396,32317690,32317690,7.090307,6.408045,0.134984,0.997452
