bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.530524,8.242072,32317690,32317690,34.332475,31.368512,0.657010,0.997969
100,0,10,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.570626,7.558831,32317690,32317690,34.150613,34.203902,0.683545,0.999999
100,0,15,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.636880,7.130203,32317690,32317690,38.955282,36.260048,0.752153,0.998718
100,0,20,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.588594,8.444187,32317690,32317690,34.069751,30.617691,0.646874,0.997160
100,0,25,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.578231,7.748096,32317690,32317690,34.116343,33.368394,0.674847,0.999877
