bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,1.5,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.984546,8.328824,32317690,32317690,28.776246,31.041780,0.598180,0.998568
100,0,5,0.8,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.379662,10.689340,32317690,32317690,22.719614,24.186856,0.469065,0.999023
100,0,5,0.5,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.518073,11.383551,32317690,32317690,22.446595,22.711852,0.451584,0.999965
